X,Y,Vx,Vy,X_gt,Y_gt,Vx_gt,Vy_gt
0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000829,-0.000742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.097157,-0.035331,0.000000,0.000000,2.098967,0.052223,2.195949,0.109339
1.620982,0.007324,2.225871,-2.134612,2.098967,0.052223,2.195949,0.109339
3.282458,-0.093173,2.225871,-2.134612,4.291359,0.215312,2.284336,0.226323
3.956912,0.004299,2.407505,-2.159803,4.291359,0.215312,2.284336,0.226323
6.085026,0.318070,2.481104,-2.170011,6.569422,0.496096,2.363816,0.348847
6.349336,0.357134,2.554914,-2.153341,6.569422,0.496096,2.363816,0.348847
8.346048,0.536151,2.567712,-2.151917,8.924371,0.899240,2.433593,0.474526
8.766148,0.600964,2.669284,-2.138630,8.924371,0.899240,2.433593,0.474526
10.818334,1.450541,2.764219,-2.125431,11.346770,1.426997,2.493282,0.600781
11.268866,1.497682,2.798710,-2.109969,11.346770,1.426997,2.493282,0.600781
12.963958,2.135998,2.843307,-2.092796,13.826950,2.079045,2.542900,0.724947
13.447284,2.192377,2.902537,-2.071071,13.826950,2.079045,2.542900,0.724947
15.785989,2.728520,2.916570,-2.065867,16.355370,2.852433,2.582842,0.844365
16.155095,2.780140,3.092377,-2.022492,16.355370,2.852433,2.582842,0.844365
18.238860,3.495767,3.120082,-2.014955,18.922991,3.741610,2.613820,0.956480
19.080682,3.674629,2.967405,-2.066053,18.922991,3.741610,2.613820,0.956480
20.717524,4.504514,3.002292,-2.054821,21.521521,4.738551,2.636790,1.058912
21.389393,4.635713,3.249165,-1.945094,21.521521,4.738551,2.636790,1.058912
23.351345,5.350585,3.266393,-1.937870,24.143690,5.832949,2.652861,1.149525
24.286509,5.555677,3.541962,-1.838724,24.143690,5.832949,2.652861,1.149525
25.966081,6.662472,3.580007,-1.824586,26.783291,7.012457,2.663198,1.226470
26.402758,6.778312,3.550749,-1.840767,26.783291,7.012457,2.663198,1.226470
28.722133,7.780723,3.569492,-1.831130,29.435230,8.262985,2.668927,1.288219
29.319084,7.945287,3.597396,-1.818287,29.435230,8.262985,2.668927,1.288219
31.209628,9.469848,3.640182,-1.798154,32.095470,9.569013,2.671045,1.333578
31.605164,9.595267,3.510634,-1.893159,32.095470,9.569013,2.671045,1.333578
33.803973,10.419754,3.516527,-1.889199,34.760811,10.913920,2.670346,1.361701
34.763895,10.710811,3.667196,-1.826778,34.760811,10.913920,2.670346,1.361701
36.486304,11.775314,3.686925,-1.817696,37.428741,12.280340,2.667361,1.372088
37.268123,12.027046,3.748526,-1.784864,37.428741,12.280340,2.667361,1.372088
39.495890,13.119961,3.761127,-1.778325,40.097111,13.650480,2.662324,1.364585
39.872894,13.250280,3.712792,-1.802119,40.097111,13.650480,2.662324,1.364585
41.973419,14.459444,3.728759,-1.794177,42.763809,15.006480,2.655152,1.339380
42.484016,14.632591,3.857148,-1.723003,42.763809,15.006480,2.655152,1.339380
44.559951,16.117519,3.879547,-1.710823,45.426510,16.330750,2.645461,1.297005
45.359452,16.406845,3.889817,-1.703862,45.426510,16.330750,2.645461,1.297005
47.409358,17.037270,3.886910,-1.705773,48.082340,17.606319,2.632596,1.238325
47.861918,17.210803,3.614187,-1.802683,48.082340,17.606319,2.632596,1.238325
49.856513,18.647098,3.633366,-1.794902,50.727631,18.817169,2.615687,1.164538
50.351029,18.828645,3.717684,-1.740375,50.727631,18.817169,2.615687,1.164538
53.763925,19.911757,0.024241,0.013544,53.357731,19.948570,2.593717,1.077164
53.527657,19.890537,1.953925,0.745164,53.357731,19.948570,2.593717,1.077164
56.063445,21.104201,0.020068,0.008217,55.966919,20.987419,2.565613,0.978022
55.873008,20.991319,1.927035,0.728013,55.966919,20.987419,2.565613,0.978022
58.693962,21.793703,0.021796,0.006157,58.548351,21.922529,2.530333,0.869205
58.593524,21.972774,2.034207,0.748353,58.548351,21.922529,2.530333,0.869205
60.904792,22.799601,0.017793,0.007023,61.094131,22.744900,2.486966,0.753031
60.771521,22.644435,1.924341,0.721070,61.094131,22.744900,2.486966,0.753031
63.412817,23.418434,0.020442,0.005984,63.595509,23.447929,2.434818,0.631987
63.760841,23.732607,1.808537,0.663545,63.595509,23.447929,2.434818,0.631987
66.369183,24.006457,0.019886,0.002960,66.043121,24.027571,2.373488,0.508655
65.905088,23.921921,1.616506,0.571995,66.043121,24.027571,2.373488,0.508655
68.287861,24.367298,0.017973,0.004674,68.427299,24.482420,2.302925,0.385623
68.690980,24.586877,1.815616,0.642447,68.427299,24.482420,2.302925,0.385623
70.856530,24.894670,0.016604,0.003192,70.738449,24.813660,2.223466,0.265395
70.756567,24.645867,1.601407,0.553272,70.738449,24.813660,2.223466,0.265395
72.917853,24.722414,0.016440,0.001590,72.967491,25.024990,2.135839,0.150292
73.098556,24.988254,1.529699,0.509283,72.967491,25.024990,2.135839,0.150292
75.026560,25.267579,0.014569,0.003435,75.106171,25.122370,2.041141,0.042363
74.985803,25.123285,1.470969,0.490646,75.106171,25.122370,2.041141,0.042363
77.145951,24.937540,0.016439,-0.000534,77.147522,25.113741,1.940798,-0.056698
77.169847,25.234267,1.181528,0.372397,77.147522,25.113741,1.940798,-0.056698
79.127764,25.042797,0.014547,0.000294,79.086098,25.008640,1.836491,-0.145607
79.192901,24.922785,1.279749,0.394848,79.086098,25.008640,1.836491,-0.145607
80.827893,24.875154,0.012339,0.000881,80.918251,24.817760,1.730078,-0.223536
81.156118,24.840988,1.090761,0.329514,80.918251,24.817760,1.730078,-0.223536
82.639019,24.644612,0.011237,-0.000572,82.642250,24.552500,1.623498,-0.290120
82.529138,24.765271,1.055184,0.309212,82.642250,24.552500,1.623498,-0.290120
84.190197,24.555355,0.012459,-0.000342,84.258369,24.224489,1.518687,-0.345444
84.306156,24.291012,1.108340,0.314159,84.258369,24.224489,1.518687,-0.345444
